,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
183,24419,RTS EMPREENDIMENTOS E PARTICIPAÇÕES S/A,INSTITUTO CULTURAL MAURICIO DE SOUSA
184,6355,KRM PRODUÇÕES AUDIOVISUAIS LTDA,BARRY COMPANY PRODUÇÕES AUDIOVISUAIS LTDA
185,40541,AEROPLANO SOLUCOES VISUAIS LTDA. - ME,FABIO WOODY PRODUÇÕES CRIATIVAS EIRELI
186,39552,PRODUTORA RIO DE ARTE E CULTURA LTDA,PRODUTORA CANARINHO DE ARTE E CULTURA LTDA
187,51253,BENEDETTO AGENCIA DIGITAL LTDA,EDGARD SOARES FILMES LTDA
188,941,PANDA FILMES LTDA,FUNDAÇÃO CINEMA RS- FUNDACINE
189,13631,LINE-UP PRODUCAO E DISTRIBUICAO DE FILMES LTDA - EPP,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.
190,656,RADIO E TELEVISAO BANDEIRANTES S.A.,ASTARTE PRODUTORA LTDA.
191,17613,HOLDEN COMUNICAÇÃO LTDA.,ELABORAR PROJETOS E PRODUÇÕES CULTURAIS LTDA.
192,19514,CALAMENGAU FILMES E VIDEOS LTDA,TUXAUA FILMES E VIDEOS LTDA
193,29817,FANTASPOA PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.,MOZI PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.
194,2836,EMPRESA SAO LUIZ DE CINEMAS LTDA,CINE ELI BAHIA CINEMAS LTDA
195,18777,VITÓRIA-RÉGIA PRODUÇÕES LTDA,MMR COMUNICACAO LTDA. EPP
196,28978,INSTITUTO COM A PALAVRA,SECULO XXI ASSESSORIA ADMINISTRATIVA NACIONAL E INTERNACIONAL LTDA.
197,41117,"H & L PROMOÇÕES, EVENTOS E COMUNICAÇÃO EIRELI",BLUE CONSULT CONSULTORIA EMPRESARIAL EIRELI
198,13263,PB BRASIL ENTRETENIMENTO S/A,EDITORA GLOBO S.A.
199,25928,AMAZON FILMES PRODUÇÕES EIRELI - EPP,AMAZON FILMES S/S LTDA
200,32527,"LUSA EMPREENDIMENTOS, PRODUÇÕES ARTÍSTICAS E LICENCIAMENTOS LTDA.",NHOCK NYAKNYAKNYAK PRODUÇÕES ARTÍSTICAS LTDA - ME
201,18328,CRYK CINEMA ARARUAMA LTDA,CRYK CINEMA BACAXA LTDA
202,44024,RENAN TELÖKEN STEIN MOTIO DESIGN,ESTÚDIO TREMA ANIMAÇÃO DIGITAL LTDA
203,40679,ALINE DA SILVA MOREIRA - ME,ALINE DA SILVA MOREIRA
204,43,FILMES DO EQUADOR LTDA.,CARAVELA FILMES LTDA.
205,38632,ANA MENDES,TERRA BRASILIA COMUNICAÇÃO
206,35216,GUIMARAES FILMES E PRODUCOES LTDA ME,ASSOCIAÇÃO CULTURAL ARTES FLUMINENSE
207,29892,CANAL DE PROGRAMAÇÃO TORRES DO VALLE LTDA EPP,A3 FILMES E PRODUÇÕES LTDA ME
