,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
135,HBO POP HD,22429.30002,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2010-06-01,ALTA DEFINIÇÃO,"BRASIL PRODUCTIONS, L.L.C",16.840.199/0001-04,Programadora Estrangeira,ESTADOS UNIDOS
136,HBO SIGNATURE,22428.30005,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2012-04-01,PADRÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
137,HBO SIGNATURE (EM HD),22428.30012,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2013-05-15,ALTA DEFINIÇÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
138,HBO XTREME,22429.30003,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2000-11-01,PADRÃO,"BRASIL PRODUCTIONS, L.L.C",16.840.199/0001-04,Programadora Estrangeira,ESTADOS UNIDOS
139,HBO XTREME HD,22429.30007,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2014-09-26,ALTA DEFINIÇÃO,"BRASIL PRODUCTIONS, L.L.C",16.840.199/0001-04,Programadora Estrangeira,ESTADOS UNIDOS
140,HBO 2,22428.30002,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",1995-03-01,PADRÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
141,HBO 2 (EM HD),22428.30009,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2013-05-15,ALTA DEFINIÇÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
142,HGTV HD,26039.30024,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-06-10,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
143,HGTV SD,26039.30023,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2019-06-10,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
144,H2,22399.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-10-01,PADRÃO,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
145,H2 HD,22399.30004,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-10-01,ALTA DEFINIÇÃO,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
146,INVESTIGAÇÃO DISCOVERY,26039.30009,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-07-09,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
